timestamp,elapsed_s,rss_mb,cpu_percent
1775257693.739,0.0,74.52,0.0
1775257694.74,1.001,74.52,0.0
1775257695.741,2.001,74.52,0.0
1775257696.742,3.002,74.52,2.0
1775257697.743,4.003,74.52,0.0
1775257698.743,5.004,74.52,0.0
1775257699.743,6.004,74.52,2.0
1775257700.744,7.004,74.52,0.0
1775257701.744,8.005,74.52,0.0
1775257702.745,9.006,73.36,2.0
1775257703.746,10.007,73.36,0.0
1775257704.746,11.007,73.36,0.0
1775257705.747,12.007,73.36,2.0
1775257706.747,13.008,73.36,0.0
1775257707.748,14.008,73.36,0.0
1775257708.748,15.009,73.36,2.0
1775257709.749,16.009,73.36,0.0
1775257710.749,17.01,73.36,1.0
1775257711.75,18.01,73.36,0.0
1775257712.75,19.011,73.36,0.0
1775257713.751,20.011,73.36,2.0
1775257714.751,21.012,73.36,0.0
1775257715.752,22.012,73.36,0.0
1775257716.752,23.013,73.36,1.0
1775257717.752,24.013,73.36,0.0
1775257718.753,25.013,73.36,0.0
1775257719.753,26.014,73.36,2.0
1775257720.754,27.014,73.36,0.0
1775257721.754,28.015,73.36,0.0
1775257722.754,29.015,73.36,2.0
1775257723.755,30.016,73.36,0.0
1775257724.756,31.016,73.36,0.0
1775257725.756,32.017,73.36,1.0
1775257726.756,33.017,73.36,0.0
1775257727.757,34.017,73.36,0.0
1775257728.757,35.018,73.36,3.0
1775257729.758,36.018,73.36,0.0
1775257730.758,37.019,73.36,0.0
1775257731.758,38.019,73.36,2.0
1775257732.759,39.02,73.36,0.0
1775257733.76,40.02,73.36,0.0
1775257734.76,41.021,73.36,2.0
1775257735.761,42.021,73.36,0.0
1775257736.761,43.022,73.36,0.0
1775257737.762,44.022,73.36,1.0
1775257738.764,45.024,73.36,0.0
1775257739.765,46.025,73.36,3.0
1775257740.765,47.026,73.36,0.0
1775257741.766,48.026,73.36,0.0
1775257742.766,49.027,73.36,2.0
1775257743.767,50.027,73.36,0.0
1775257744.767,51.028,73.36,0.0
1775257745.768,52.029,73.36,2.0
1775257746.769,53.03,73.36,0.0
1775257747.769,54.03,73.36,0.0
1775257748.77,55.031,73.36,2.0
1775257749.771,56.032,73.36,0.0
1775257750.771,57.032,73.36,0.0
1775257751.776,58.036,73.36,1.0
1775257752.779,59.04,73.36,0.0
1775257753.782,60.043,73.36,0.0
1775257754.783,61.043,73.36,2.0
1775257755.783,62.044,73.36,0.0
1775257756.785,63.045,73.36,0.0
