timestamp,elapsed_s,rss_mb,cpu_percent
1775302071.418,0.0,83.17,0.0
1775302072.419,1.001,83.17,0.0
1775302073.419,2.001,83.17,0.0
1775302074.42,3.001,83.17,2.0
1775302075.42,4.002,83.17,0.0
1775302076.421,5.002,83.17,0.0
1775302077.421,6.003,83.17,2.0
1775302078.421,7.003,83.17,0.0
1775302079.422,8.004,83.17,0.0
1775302080.422,9.004,83.17,2.0
1775302081.423,10.005,83.17,0.0
1775302082.428,11.01,83.17,0.0
1775302083.441,12.023,83.17,1.0
1775302084.446,13.028,83.17,0.0
1775302085.448,14.029,83.17,0.0
1775302086.45,15.031,83.17,2.0
1775302087.457,16.038,83.17,0.0
1775302088.457,17.039,83.17,0.0
1775302089.465,18.047,83.17,1.0
1775302090.466,19.048,83.17,0.0
1775302091.467,20.049,83.17,2.0
1775302092.467,21.049,83.17,0.0
1775302093.468,22.05,83.17,0.0
1775302094.469,23.05,83.17,2.0
1775302095.469,24.051,83.17,0.0
1775302096.471,25.053,83.17,0.0
1775302097.472,26.054,83.17,1.0
1775302098.473,27.054,83.17,0.0
1775302099.473,28.055,83.17,0.0
1775302100.473,29.055,83.17,2.0
1775302101.474,30.055,83.17,0.0
1775302102.474,31.056,83.17,0.0
1775302103.475,32.056,83.17,1.0
1775302104.475,33.057,83.17,0.0
1775302105.475,34.057,83.17,0.0
1775302106.475,35.057,83.17,2.0
1775302107.476,36.057,83.17,0.0
1775302108.476,37.058,83.17,0.0
1775302109.477,38.058,83.17,1.0
1775302110.477,39.059,83.17,0.0
1775302111.477,40.059,83.17,0.0
1775302112.478,41.06,83.17,2.0
1775302113.478,42.06,83.17,0.0
1775302114.479,43.061,83.17,0.0
1775302115.482,44.064,83.17,2.0
1775302116.484,45.066,83.17,0.0
1775302117.486,46.068,83.17,0.0
1775302118.488,47.069,83.17,1.0
1775302119.489,48.071,83.17,0.0
1775302120.491,49.072,83.17,0.0
1775302121.491,50.073,83.17,2.0
1775302122.492,51.074,83.17,0.0
1775302123.493,52.074,83.17,0.0
1775302124.493,53.075,83.17,1.0
1775302125.494,54.076,83.17,0.0
1775302126.494,55.076,83.17,0.0
1775302127.495,56.076,83.17,2.0
1775302128.495,57.077,83.17,0.0
1775302129.496,58.077,83.17,0.0
1775302130.496,59.078,83.17,1.0
1775302131.497,60.078,83.17,0.0
1775302132.497,61.079,83.17,0.0
1775302133.498,62.079,83.17,2.0
1775302134.498,63.08,83.17,0.0
