Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775253609,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775253610,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775253611,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775253612,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775253613,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775253614,10,,Aggregated,0.000000,0.000000,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,1,0,4930.038514999978,4930.038514999978,4930.038514999978,4930.038514999978,1633.0
1775253615,10,,Aggregated,0.000000,0.000000,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,1,0,4930.038514999978,4930.038514999978,4930.038514999978,4930.038514999978,1633.0
1775253616,10,,Aggregated,0.000000,0.000000,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,1,0,4930.038514999978,4930.038514999978,4930.038514999978,4930.038514999978,1633.0
1775253617,10,,Aggregated,0.000000,0.000000,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,1,0,4930.038514999978,4930.038514999978,4930.038514999978,4930.038514999978,1633.0
1775253618,10,,Aggregated,0.166667,0.000000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,2,0,4930.038514999978,6472.491520999938,4930.038514999978,8014.944526999898,1631.5
1775253619,10,,Aggregated,0.166667,0.000000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,2,0,4930.038514999978,6472.491520999938,4930.038514999978,8014.944526999898,1631.5
1775253620,10,,Aggregated,0.125000,0.000000,8000,8000,11000,11000,11000,11000,11000,11000,11000,11000,11000,3,0,8000,7880.491940666616,4930.038514999978,10696.492779999971,1631.3333333333333
1775253621,10,,Aggregated,0.125000,0.000000,8000,8000,11000,11000,11000,11000,11000,11000,11000,11000,11000,3,0,8000,7880.491940666616,4930.038514999978,10696.492779999971,1631.3333333333333
1775253622,10,,Aggregated,0.125000,0.000000,8000,8000,11000,11000,11000,11000,11000,11000,11000,11000,11000,3,0,8000,7880.491940666616,4930.038514999978,10696.492779999971,1631.3333333333333
1775253623,10,,Aggregated,0.300000,0.000000,11000,11000,13000,13000,13000,13000,13000,13000,13000,13000,13000,4,0,8000,9285.218897999812,4930.038514999978,13499.3997699994,1631.0
1775253624,10,,Aggregated,0.300000,0.000000,11000,11000,13000,13000,13000,13000,13000,13000,13000,13000,13000,4,0,8000,9285.218897999812,4930.038514999978,13499.3997699994,1631.0
1775253625,10,,Aggregated,0.300000,0.000000,11000,11000,13000,13000,13000,13000,13000,13000,13000,13000,13000,4,0,8000,9285.218897999812,4930.038514999978,13499.3997699994,1631.0
1775253626,10,,Aggregated,0.400000,0.000000,11000,13000,13000,17000,17000,17000,17000,17000,17000,17000,17000,5,0,11000,10732.974526999897,4930.038514999978,16523.997043000236,1625.6
1775253627,10,,Aggregated,0.400000,0.000000,11000,13000,13000,17000,17000,17000,17000,17000,17000,17000,17000,5,0,11000,10732.974526999897,4930.038514999978,16523.997043000236,1625.6
1775253628,10,,Aggregated,0.400000,0.000000,11000,13000,13000,17000,17000,17000,17000,17000,17000,17000,17000,5,0,11000,10732.974526999897,4930.038514999978,16523.997043000236,1625.6
1775253629,10,,Aggregated,0.400000,0.000000,13000,13000,17000,17000,19000,19000,19000,19000,19000,19000,19000,6,0,11000,12175.465320166646,4930.038514999978,19387.919286000397,1626.5
1775253630,10,,Aggregated,0.400000,0.000000,13000,13000,17000,17000,19000,19000,19000,19000,19000,19000,19000,6,0,11000,12175.465320166646,4930.038514999978,19387.919286000397,1626.5
1775253631,10,,Aggregated,0.400000,0.000000,13000,13000,17000,17000,19000,19000,19000,19000,19000,19000,19000,6,0,11000,12175.465320166646,4930.038514999978,19387.919286000397,1626.5
1775253632,10,,Aggregated,0.400000,0.000000,13000,17000,19000,19000,22000,22000,22000,22000,22000,22000,22000,7,0,13000,13597.157252142875,4930.038514999978,22127.308844000254,1626.857142857143
1775253633,10,,Aggregated,0.400000,0.000000,13000,17000,19000,19000,22000,22000,22000,22000,22000,22000,22000,7,0,13000,13597.157252142875,4930.038514999978,22127.308844000254,1626.857142857143
1775253634,10,,Aggregated,0.400000,0.000000,13000,17000,19000,19000,22000,22000,22000,22000,22000,22000,22000,7,0,13000,13597.157252142875,4930.038514999978,22127.308844000254,1626.857142857143
1775253635,10,,Aggregated,0.400000,0.000000,13000,17000,19000,19000,22000,22000,22000,22000,22000,22000,22000,7,0,13000,13597.157252142875,4930.038514999978,22127.308844000254,1626.857142857143
1775253636,10,,Aggregated,0.300000,0.000000,17000,19000,22000,22000,26000,26000,26000,26000,26000,26000,26000,8,0,13000,15209.36181649995,4930.038514999978,26494.793766999464,1627.375
1775253637,10,,Aggregated,0.300000,0.000000,17000,19000,22000,22000,26000,26000,26000,26000,26000,26000,26000,8,0,13000,15209.36181649995,4930.038514999978,26494.793766999464,1627.375
1775253638,10,,Aggregated,0.300000,0.000000,17000,19000,22000,22000,26000,26000,26000,26000,26000,26000,26000,8,0,13000,15209.36181649995,4930.038514999978,26494.793766999464,1627.375
