timestamp,elapsed_s,rss_mb,cpu_percent
1775305959.701,0.0,63.24,0.0
1775305960.701,1.001,63.24,0.0
1775305961.702,2.001,63.24,0.0
1775305962.702,3.001,63.24,3.0
1775305963.703,4.002,63.24,0.0
1775305964.703,5.002,63.24,1.0
1775305965.703,6.002,63.24,2.0
1775305966.704,7.003,63.24,0.0
1775305967.704,8.003,63.24,2.0
1775305968.704,9.004,63.24,1.0
1775305969.705,10.004,63.24,0.0
1775305970.705,11.005,63.37,3.0
1775305971.706,12.005,63.37,0.0
1775305972.712,13.011,63.37,1.0
1775305973.717,14.016,63.37,1.0
1775305974.718,15.017,63.37,1.0
1775305975.719,16.018,63.37,0.0
1775305976.719,17.018,63.37,2.0
1775305977.722,18.021,63.37,1.0
1775305978.723,19.022,63.37,1.0
1775305979.723,20.022,63.37,1.0
1775305980.724,21.023,63.37,1.0
1775305981.724,22.023,63.37,2.0
1775305982.725,23.024,63.37,1.0
1775305983.725,24.024,63.37,1.0
1775305984.726,25.025,63.37,2.0
1775305985.726,26.025,63.37,0.0
1775305986.726,27.025,63.37,1.0
1775305987.727,28.026,63.37,2.0
1775305988.727,29.026,63.37,0.0
1775305989.727,30.026,63.37,1.0
1775305990.728,31.027,63.37,2.0
1775305991.728,32.028,63.37,0.0
1775305992.729,33.028,63.37,2.0
1775305993.729,34.028,63.37,1.0
1775305994.729,35.029,63.37,1.0
1775305995.73,36.029,63.37,1.0
1775305996.73,37.029,63.37,0.0
1775305997.731,38.03,63.37,3.0
1775305998.731,39.03,63.37,0.0
1775305999.731,40.031,63.37,1.0
1775306000.732,41.031,63.37,2.0
1775306001.732,42.031,63.37,0.0
1775306002.733,43.032,63.37,1.0
1775306003.735,44.035,63.37,2.0
1775306004.737,45.037,63.37,1.0
1775306005.738,46.037,63.37,1.0
1775306006.739,47.038,63.37,1.0
1775306007.74,48.039,63.37,1.0
1775306008.74,49.039,63.37,1.0
1775306009.741,50.04,63.37,1.0
1775306010.742,51.041,63.37,1.0
1775306011.742,52.041,63.37,1.0
1775306012.743,53.042,63.37,1.0
1775306013.743,54.043,63.37,0.0
1775306014.744,55.043,63.37,2.0
1775306015.744,56.044,63.37,1.0
1775306016.745,57.044,63.37,1.0
1775306017.745,58.044,63.37,1.0
1775306018.746,59.045,63.37,1.0
1775306019.746,60.045,63.37,1.0
1775306020.746,61.045,63.37,1.0
1775306021.747,62.046,63.37,1.0
1775306022.747,63.046,63.37,1.0
