timestamp,elapsed_s,rss_mb,cpu_percent
1775310107.748,0.0,72.12,0.0
1775310108.749,1.0,72.12,0.0
1775310109.749,2.001,72.12,0.0
1775310110.749,3.001,72.12,5.0
1775310112.38,4.631,72.12,0.0
1775310113.38,5.632,72.12,0.0
1775310114.38,6.632,72.12,3.0
1775310115.381,7.632,72.12,0.0
1775310116.381,8.633,72.12,3.0
1775310117.382,9.633,72.12,2.0
1775310118.382,10.634,72.12,0.0
1775310119.382,11.634,72.12,2.0
1775310120.383,12.634,72.12,1.0
1775310121.383,13.635,72.12,0.0
1775310122.383,14.635,72.12,2.0
1775310123.384,15.635,72.12,1.0
1775310124.384,16.636,72.12,3.0
1775310125.384,17.636,72.12,1.0
1775310126.385,18.636,72.12,1.0
1775310127.385,19.637,72.12,2.0
1775310128.386,20.637,72.12,2.0
1775310129.386,21.638,72.12,0.0
1775310130.386,22.638,72.12,2.0
1775310131.387,23.638,72.12,2.0
1775310132.387,24.638,72.12,1.0
1775310133.387,25.639,72.12,1.0
1775310134.388,26.639,72.12,1.0
1775310135.388,27.64,72.12,2.0
1775310136.389,28.64,72.12,1.0
1775310137.389,29.641,72.12,1.0
1775310138.389,30.641,72.12,2.0
1775310139.39,31.641,72.12,2.0
1775310140.39,32.641,72.12,1.0
1775310141.39,33.642,72.12,1.0
1775310142.391,34.642,72.12,2.0
1775310143.391,35.642,72.12,1.0
1775310144.94,37.191,72.12,1.0
1775310145.94,38.192,72.12,2.0
1775310146.941,39.192,72.12,2.0
1775310147.941,40.193,72.12,2.0
1775310148.941,41.193,72.12,1.0
1775310149.942,42.193,72.12,1.0
1775310150.942,43.194,72.12,1.0
1775310151.942,44.194,72.12,2.0
1775310152.943,45.194,72.12,0.0
1775310153.943,46.195,72.12,1.0
1775310154.944,47.195,72.12,2.0
1775310155.944,48.195,72.12,1.0
1775310156.944,49.196,72.12,2.0
1775310157.945,50.196,72.12,0.0
1775310158.945,51.197,72.12,2.0
1775310159.946,52.197,72.12,2.0
1775310160.946,53.198,72.12,1.0
1775310161.947,54.198,72.12,1.0
1775310162.947,55.199,72.12,1.0
1775310163.947,56.199,72.12,2.0
1775310164.948,57.199,72.12,1.0
1775310165.948,58.2,72.12,2.0
1775310166.948,59.2,72.12,0.0
1775310167.949,60.2,72.12,3.0
1775310168.949,61.201,72.12,1.0
1775310169.95,62.201,72.12,1.0
1775310170.95,63.202,72.12,1.0
1775310171.951,64.202,72.12,1.0
