Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775309238,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775309239,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775309240,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775309241,5,,Aggregated,0.000000,0.000000,2900,2900,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,0,2845.0432109993926,2894.501088749621,2845.0432109993926,2993.458493999242,1608.25
1775309242,5,,Aggregated,0.000000,0.000000,2900,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,5,0,2900,2962.729338399731,2845.0432109993926,3235.642337000172,1608.0
1775309243,5,,Aggregated,0.000000,0.000000,2900,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,5,0,2900,2962.729338399731,2845.0432109993926,3235.642337000172,1608.0
1775309244,5,,Aggregated,1.250000,0.000000,2800,2800,2900,3000,3200,3200,3200,3200,3200,3200,3200,9,0,2800,2867.098117888721,2617.0314319997487,3235.642337000172,1607.3333333333333
1775309245,5,,Aggregated,1.250000,0.000000,2800,2800,2900,3000,3200,3200,3200,3200,3200,3200,3200,10,0,2800,2859.354889199858,2617.0314319997487,3235.642337000172,1607.3
1775309246,5,,Aggregated,1.250000,0.000000,2800,2800,2900,3000,3200,3200,3200,3200,3200,3200,3200,10,0,2800,2859.354889199858,2617.0314319997487,3235.642337000172,1607.3
1775309247,5,,Aggregated,1.333333,0.000000,2800,2800,2900,2900,3000,3200,3200,3200,3200,3200,3200,15,0,2800,2815.8024664665086,2577.860446000159,3235.642337000172,1607.3333333333333
1775309248,5,,Aggregated,1.333333,0.000000,2800,2800,2900,2900,3000,3200,3200,3200,3200,3200,3200,15,0,2800,2815.8024664665086,2577.860446000159,3235.642337000172,1607.3333333333333
1775309249,5,,Aggregated,1.666667,0.000000,2800,2800,2900,2900,3000,3200,3200,3200,3200,3200,3200,16,0,2800,2809.83665649984,2577.860446000159,3235.642337000172,1607.375
1775309250,5,,Aggregated,1.666667,0.000000,2800,2800,2900,2900,3000,3200,3200,3200,3200,3200,3200,19,0,2800,2788.3213353157103,2577.860446000159,3235.642337000172,1607.3157894736842
1775309251,5,,Aggregated,1.500000,0.000000,2800,2800,2900,2900,3200,3900,3900,3900,3900,3900,3900,20,0,2800,2843.6877137499323,2577.860446000159,3895.6489040001543,1607.35
1775309252,5,,Aggregated,1.900000,0.000000,2800,2800,2900,2900,3000,3200,3900,3900,3900,3900,3900,24,0,2800,2822.9761221665517,2577.860446000159,3895.6489040001543,1606.4166666666667
1775309253,5,,Aggregated,1.900000,0.000000,2800,2800,2900,2900,3000,3200,3900,3900,3900,3900,3900,24,0,2800,2822.9761221665517,2577.860446000159,3895.6489040001543,1606.4166666666667
1775309254,5,,Aggregated,2.000000,0.000000,2800,2800,2900,2900,3000,3200,3900,3900,3900,3900,3900,25,0,2800,2820.3793547199166,2577.860446000159,3895.6489040001543,1606.48
1775309255,5,,Aggregated,1.500000,0.000000,2800,2800,2900,2900,3000,3200,3900,3900,3900,3900,3900,28,0,2800,2797.003800142778,2525.5571239995334,3895.6489040001543,1606.642857142857
1775309256,5,,Aggregated,1.900000,0.000000,2800,2800,2800,2900,3000,3200,3900,3900,3900,3900,3900,29,0,2800,2784.3646356895997,2430.4680310006006,3895.6489040001543,1605.103448275862
1775309257,5,,Aggregated,1.700000,0.000000,2800,2800,2900,2900,3200,3900,4400,4400,4400,4400,4400,30,0,2800,2837.1139761332724,2430.4680310006006,4366.84484899979,1605.2
1775309258,5,,Aggregated,1.800000,0.000000,2800,2800,2900,2900,3000,3900,4400,4400,4400,4400,4400,33,0,2800,2832.4362326969126,2430.4680310006006,4366.84484899979,1602.8484848484848
1775309259,5,,Aggregated,1.500000,0.000000,2700,2800,2900,2900,3000,3900,4400,4400,4400,4400,4400,35,0,2700,2815.1564229428136,2430.4680310006006,4366.84484899979,1600.857142857143
1775309260,5,,Aggregated,1.500000,0.000000,2700,2800,2900,2900,3000,3900,4400,4400,4400,4400,4400,36,0,2700,2809.9406759721815,2430.4680310006006,4366.84484899979,1601.0277777777778
1775309261,5,,Aggregated,1.900000,0.000000,2700,2800,2900,2900,3200,3900,4400,4400,4400,4400,4400,39,0,2700,2834.451774333316,2430.4680310006006,4366.84484899979,1601.5384615384614
1775309262,5,,Aggregated,1.700000,0.000000,2700,2800,2900,2900,3200,3900,4400,4400,4400,4400,4400,40,0,2700,2829.871108199996,2430.4680310006006,4366.84484899979,1601.7
1775309263,5,,Aggregated,1.700000,0.000000,2700,2800,2800,2900,3000,3800,4400,4400,4400,4400,4400,41,0,2700,2826.9818880731564,2430.4680310006006,4366.84484899979,1601.8536585365853
1775309264,5,,Aggregated,1.900000,0.000000,2800,2800,2900,2900,3200,3800,4400,4400,4400,4400,4400,44,0,2700,2837.191591340901,2430.4680310006006,4366.84484899979,1601.6363636363637
1775309265,5,,Aggregated,1.600000,0.000000,2700,2800,2800,2900,3200,3800,4400,4400,4400,4400,4400,45,0,2700,2834.6574149111098,2430.4680310006006,4366.84484899979,1601.7777777777778
1775309266,5,,Aggregated,1.700000,0.000000,2700,2800,2800,2900,3200,3800,4400,4400,4400,4400,4400,47,0,2700,2823.5383153191547,2430.4680310006006,4366.84484899979,1601.276595744681
1775309267,5,,Aggregated,1.600000,0.000000,2700,2800,2800,2900,3200,3800,4400,4400,4400,4400,4400,49,0,2700,2825.800263918368,2430.4680310006006,4366.84484899979,1601.4897959183672
1775309268,5,,Aggregated,1.600000,0.000000,2700,2800,2900,2900,3400,3800,4400,4400,4400,4400,4400,50,0,2700,2837.3288432800114,2430.4680310006006,4366.84484899979,1601.62
1775309269,5,,Aggregated,1.700000,0.000000,2700,2800,2900,2900,3200,3800,3900,4400,4400,4400,4400,52,0,2700,2836.415356788463,2430.4680310006006,4366.84484899979,1601.8653846153845
1775309270,5,,Aggregated,1.600000,0.000000,2700,2800,2900,3000,3200,3800,3900,4400,4400,4400,4400,54,0,2700,2834.632909203702,2430.4680310006006,4366.84484899979,1602.0740740740741
1775309271,5,,Aggregated,1.600000,0.000000,2700,2800,2900,2900,3200,3800,3900,4400,4400,4400,4400,56,0,2700,2826.8509717857205,2430.4680310006006,4366.84484899979,1602.2857142857142
1775309272,5,,Aggregated,1.600000,0.000000,2700,2800,2900,2900,3200,3800,3900,4400,4400,4400,4400,57,0,2700,2824.132677596504,2430.4680310006006,4366.84484899979,1602.3859649122808
1775309273,5,,Aggregated,1.700000,0.000000,2700,2800,2900,3000,3400,3800,3900,4400,4400,4400,4400,60,0,2700,2832.4946334499896,2430.4680310006006,4366.84484899979,1602.65
1775309274,5,,Aggregated,1.800000,0.000000,2700,2800,2900,2900,3200,3500,3900,4400,4400,4400,4400,62,0,2700,2828.713931177404,2430.4680310006006,4366.84484899979,1601.4354838709678
1775309275,5,,Aggregated,1.800000,0.000000,2700,2800,2900,2900,3200,3500,3900,4400,4400,4400,4400,63,0,2700,2829.492638999995,2430.4680310006006,4366.84484899979,1601.3174603174602
1775309276,5,,Aggregated,1.800000,0.000000,2700,2800,2900,2900,3200,3500,3900,4400,4400,4400,4400,65,0,2700,2825.9383953538268,2430.4680310006006,4366.84484899979,1601.5384615384614
1775309277,5,,Aggregated,1.800000,0.000000,2700,2800,2900,2900,3200,3500,3900,4400,4400,4400,4400,66,0,2700,2821.158091969677,2430.4680310006006,4366.84484899979,1601.6363636363637
1775309278,5,,Aggregated,1.800000,0.000000,2700,2800,2900,2900,3400,3600,3900,4400,4400,4400,4400,68,0,2700,2831.3505162646848,2430.4680310006006,4366.84484899979,1601.764705882353
1775309279,5,,Aggregated,1.800000,0.000000,2700,2800,2900,2900,3400,3600,3900,4400,4400,4400,4400,70,0,2700,2827.7675292571193,2430.4680310006006,4366.84484899979,1601.9285714285713
1775309280,5,,Aggregated,1.700000,0.000000,2700,2800,2900,2900,3200,3600,3900,4400,4400,4400,4400,72,0,2700,2826.7152537638735,2430.4680310006006,4366.84484899979,1602.0972222222222
1775309281,5,,Aggregated,1.800000,0.000000,2700,2800,2900,2900,3200,3600,3900,4400,4400,4400,4400,74,0,2700,2823.9077639324205,2430.4680310006006,4366.84484899979,1602.2027027027027
1775309282,5,,Aggregated,1.800000,0.000000,2700,2800,2900,2900,3200,3600,3900,4400,4400,4400,4400,75,0,2700,2822.705526413324,2430.4680310006006,4366.84484899979,1602.28
