timestamp,elapsed_s,rss_mb,cpu_percent
1775307651.697,0.0,68.62,0.0
1775307652.697,1.0,68.62,0.0
1775307653.697,2.001,68.62,1.0
1775307654.698,3.001,68.74,3.0
1775307655.698,4.002,68.74,1.0
1775307656.698,5.002,68.74,3.0
1775307657.699,6.002,68.74,2.0
1775307658.699,7.002,68.74,1.0
1775307659.7,8.003,68.74,4.0
1775307660.7,9.004,68.74,2.0
1775307661.7,10.004,68.74,2.0
1775307662.701,11.004,68.74,3.0
1775307663.701,12.005,68.74,2.0
1775307664.701,13.005,68.87,2.0
1775307665.702,14.005,68.87,2.0
1775307666.702,15.006,68.87,2.0
1775307667.704,16.008,68.87,3.0
1775307668.705,17.008,68.87,2.0
1775307669.707,18.01,68.87,2.0
1775307670.708,19.012,68.99,3.0
1775307671.71,20.013,68.99,1.0
1775307672.71,21.014,68.99,2.0
1775307673.711,22.014,69.12,3.0
1775307674.712,23.015,69.24,2.0
1775307675.712,24.016,69.24,2.0
1775307676.713,25.016,69.24,3.0
1775307677.713,26.017,69.24,1.0
1775307678.714,27.017,69.24,3.0
1775307679.714,28.018,69.24,2.0
1775307680.714,29.018,69.24,2.0
1775307681.715,30.018,69.24,2.0
1775307682.715,31.019,69.24,2.0
1775307683.716,32.019,69.24,2.0
1775307684.716,33.02,69.24,2.0
1775307685.717,34.02,69.24,2.0
1775307686.717,35.02,69.37,3.0
1775307687.717,36.021,69.37,2.0
1775307688.718,37.021,69.37,2.0
1775307689.718,38.021,69.37,2.0
1775307690.718,39.022,69.49,2.0
1775307691.719,40.022,69.49,3.0
1775307692.719,41.023,69.49,2.0
1775307693.72,42.023,69.62,3.0
1775307694.72,43.024,69.74,2.0
1775307695.721,44.024,69.74,2.0
1775307696.721,45.025,69.74,2.0
1775307697.722,46.025,69.74,2.0
1775307698.722,47.025,69.74,3.0
1775307699.725,48.029,69.74,2.0
1775307700.733,49.037,69.74,2.0
1775307701.734,50.038,69.74,3.0
1775307702.737,51.04,69.74,2.0
1775307703.737,52.04,69.74,2.0
1775307704.738,53.042,69.74,2.0
1775307705.739,54.042,69.74,2.0
1775307706.74,55.043,69.74,2.0
1775307707.74,56.044,69.87,2.0
1775307708.741,57.044,69.87,2.0
1775307709.741,58.045,69.87,3.0
1775307710.742,59.046,69.87,1.0
1775307711.743,60.046,69.99,3.0
1775307712.743,61.047,70.12,2.0
1775307713.744,62.047,70.12,2.0
1775307714.744,63.048,70.12,1.0
