timestamp,completed,e2e_pipeline_ms,stage1_ms,stage2_ms,stage3_ms,stage4_ms
1775244665.7874975,True,2949.218,0.001,50.451,2898.714,0.002
1775244668.7340887,True,2946.032,0.001,50.195,2895.809,0.002
1775244671.6818624,True,2946.885,0.0,50.399,2896.457,0.002
1775244674.6291606,True,2946.554,0.0,50.418,2896.107,0.002
1775244677.5753555,True,2945.384,0.001,50.287,2895.067,0.002
1775244680.5223384,True,2945.979,0.0,50.261,2895.664,0.002
1775244683.467216,True,2944.204,0.0,50.103,2894.071,0.002
1775244686.4308987,True,2962.557,0.0,50.167,2912.361,0.003
1775244689.378444,True,2946.784,0.0,50.163,2896.593,0.002
1775244692.3245802,True,2944.967,0.0,50.368,2894.57,0.002
1775244695.8870058,True,2945.53,0.001,50.27,2895.231,0.003
1775244698.834033,True,2945.962,0.0,50.205,2895.727,0.002
1775244701.7874992,True,2952.908,0.0,50.377,2902.503,0.002
1775244704.7332575,True,2944.933,0.0,50.174,2894.732,0.002
1775244707.6793656,True,2945.434,0.0,50.369,2895.037,0.002
1775244710.6263077,True,2945.377,0.0,50.353,2894.995,0.002
1775244713.5748477,True,2948.311,0.0,50.178,2898.106,0.002
1775244716.5215964,True,2945.872,0.001,50.276,2895.569,0.002
1775244719.473338,True,2951.03,0.0,50.248,2900.753,0.002
1775244722.4205809,True,2946.325,0.0,50.224,2896.072,0.002
