timestamp,elapsed_s,rss_mb,cpu_percent
1775226390.91,0.0,59.13,0.0
1775226391.911,1.001,59.13,0.0
1775226392.912,2.002,59.13,0.0
1775226393.912,3.002,59.13,1.0
1775226394.912,4.002,59.13,0.0
1775226395.913,5.003,59.13,0.0
1775226396.914,6.004,59.13,0.0
1775226397.915,7.005,59.13,0.0
1775226398.916,8.006,59.13,0.0
1775226399.917,9.007,59.13,0.0
1775226400.917,10.007,59.13,0.0
1775226401.917,11.007,59.13,0.0
1775226403.34,12.43,59.13,1.0
1775226404.34,13.43,59.13,0.0
1775226405.341,14.431,59.13,0.0
1775226406.341,15.431,59.13,0.0
1775226407.342,16.432,59.13,0.0
1775226408.342,17.432,59.13,0.0
1775226409.342,18.432,59.13,0.0
1775226410.342,19.432,59.13,0.0
1775226411.343,20.433,59.13,1.0
1775226412.343,21.433,59.13,0.0
1775226413.344,22.434,59.13,1.0
1775226414.344,23.434,59.13,0.0
1775226415.345,24.435,59.13,0.0
1775226416.345,25.435,59.13,0.0
1775226417.346,26.436,59.13,0.0
1775226418.346,27.436,59.13,0.0
1775226419.346,28.436,59.13,0.0
1775226420.347,29.437,59.13,0.0
1775226421.347,30.437,59.13,0.0
1775226422.347,31.437,59.13,0.0
1775226423.348,32.438,59.13,0.0
1775226424.348,33.438,59.13,0.0
1775226425.349,34.439,59.13,0.0
1775226426.349,35.439,59.13,1.0
1775226427.349,36.439,59.13,0.0
1775226428.35,37.44,59.13,0.0
1775226429.35,38.44,59.13,0.0
1775226430.351,39.441,59.13,0.0
1775226431.351,40.441,59.13,0.0
1775226432.351,41.441,59.13,0.0
1775226433.352,42.442,59.13,0.0
1775226434.352,43.442,59.13,0.0
1775226435.353,44.442,59.13,0.0
1775226436.788,45.878,59.13,0.0
1775226437.789,46.879,59.13,0.0
1775226438.789,47.879,59.13,0.0
1775226439.79,48.88,59.13,0.0
1775226440.79,49.88,59.13,1.0
1775226441.79,50.88,59.13,0.0
1775226442.791,51.881,59.13,0.0
1775226443.791,52.881,59.13,0.0
1775226444.791,53.881,59.13,0.0
1775226445.792,54.882,59.13,0.0
1775226446.792,55.882,59.13,0.0
1775226447.792,56.882,59.13,0.0
1775226448.793,57.883,59.13,0.0
1775226449.797,58.887,59.13,1.0
1775226450.83,59.92,59.13,0.0
1775226451.831,60.921,59.13,0.0
1775226452.831,61.921,59.13,0.0
1775226453.832,62.922,59.13,0.0
1775226454.832,63.922,59.13,0.0
