timestamp,elapsed_s,rss_mb,cpu_percent
1775240257.876,0.0,73.25,0.0
1775240258.877,1.001,73.25,0.0
1775240259.877,2.002,73.25,0.0
1775240261.921,4.045,73.25,1.0
1775240262.921,5.046,73.25,0.0
1775240263.922,6.046,73.25,2.0
1775240264.922,7.047,73.25,0.0
1775240265.923,8.047,73.25,0.0
1775240266.923,9.048,73.25,2.0
1775240267.924,10.048,73.25,0.0
1775240268.924,11.048,73.25,2.0
1775240269.924,12.049,73.25,0.0
1775240270.925,13.049,73.25,0.0
1775240271.925,14.049,73.25,1.0
1775240272.925,15.05,73.25,0.0
1775240273.926,16.05,73.25,3.0
1775240274.926,17.05,73.25,0.0
1775240275.927,18.051,73.25,2.0
1775240276.927,19.051,73.25,0.0
1775240277.927,20.052,73.25,0.0
1775240278.928,21.052,73.25,1.0
1775240279.928,22.053,73.25,0.0
1775240280.928,23.053,73.25,2.0
1775240281.929,24.053,73.25,0.0
1775240282.929,25.054,73.25,0.0
1775240283.93,26.054,73.25,1.0
1775240284.93,27.054,73.25,0.0
1775240285.931,28.055,73.25,3.0
1775240286.931,29.055,73.25,0.0
1775240287.931,30.056,73.25,0.0
1775240288.932,31.056,73.25,2.0
1775240289.932,32.057,73.25,0.0
1775240290.933,33.057,73.25,1.0
1775240291.933,34.057,73.25,0.0
1775240292.934,35.058,73.25,2.0
1775240293.934,36.058,73.25,0.0
1775240295.961,38.086,73.25,0.0
1775240296.962,39.086,73.25,1.0
1775240297.963,40.087,73.25,0.0
1775240298.963,41.087,73.25,2.0
1775240299.963,42.088,73.25,0.0
1775240300.964,43.088,73.25,0.0
1775240301.964,44.089,73.25,3.0
1775240302.965,45.089,73.25,0.0
1775240303.965,46.089,73.25,1.0
1775240304.965,47.09,73.25,0.0
1775240305.966,48.09,73.25,1.0
1775240306.966,49.09,73.25,1.0
1775240307.967,50.091,73.25,0.0
1775240308.967,51.091,73.25,2.0
1775240309.968,52.092,73.25,0.0
1775240310.968,53.092,73.25,1.0
1775240311.969,54.093,73.25,0.0
1775240312.969,55.093,73.25,0.0
1775240313.969,56.094,73.25,2.0
1775240314.97,57.094,73.25,0.0
1775240315.97,58.095,73.25,2.0
1775240316.971,59.095,73.25,0.0
1775240317.971,60.095,73.25,0.0
1775240318.972,61.096,73.25,2.0
1775240319.972,62.096,73.25,0.0
1775240320.972,63.097,73.25,1.0
1775240321.973,64.097,73.25,1.0
1775240322.973,65.097,73.25,6.0
