timestamp,elapsed_s,rss_mb,cpu_percent
1775322900.524,0.0,58.88,0.0
1775322901.525,1.001,58.88,0.0
1775322902.525,2.001,58.88,0.0
1775322903.525,3.001,58.88,3.0
1775322904.526,4.002,58.88,0.0
1775322905.526,5.002,58.88,1.0
1775322906.527,6.002,58.88,2.0
1775322907.527,7.003,58.88,0.0
1775322908.527,8.003,58.88,1.0
1775322909.528,9.004,58.88,1.0
1775322910.528,10.004,58.88,1.0
1775322911.528,11.004,59.0,1.0
1775322912.529,12.005,59.0,1.0
1775322913.529,13.005,59.0,0.0
1775322914.53,14.005,59.0,1.0
1775322915.53,15.006,59.0,2.0
1775322916.531,16.007,59.0,0.0
1775322917.531,17.007,59.0,1.0
1775322918.531,18.007,59.0,1.0
1775322919.532,19.008,59.0,0.0
1775322920.532,20.008,59.0,1.0
1775322921.532,21.008,59.0,1.0
1775322923.176,22.651,59.0,1.0
1775322924.176,23.652,59.0,1.0
1775322925.177,24.652,59.0,0.0
1775322926.177,25.653,59.0,2.0
1775322927.177,26.653,59.0,1.0
1775322928.178,27.653,59.0,0.0
1775322929.178,28.654,59.0,1.0
1775322930.178,29.654,59.0,1.0
1775322931.179,30.655,59.0,1.0
1775322932.18,31.656,59.0,1.0
1775322933.18,32.656,59.0,1.0
1775322934.18,33.656,59.0,1.0
1775322935.181,34.657,59.0,1.0
1775322936.181,35.657,59.0,1.0
1775322937.181,36.657,59.0,1.0
1775322938.182,37.658,59.0,1.0
1775322939.182,38.658,59.0,0.0
1775322940.182,39.658,59.0,2.0
1775322941.183,40.659,59.0,1.0
1775322942.183,41.659,59.0,0.0
1775322943.183,42.659,59.0,1.0
1775322944.184,43.66,59.0,1.0
1775322945.184,44.66,59.0,1.0
1775322946.185,45.661,59.0,1.0
1775322947.185,46.661,59.0,1.0
1775322948.186,47.661,59.0,0.0
1775322949.186,48.662,59.0,2.0
1775322950.186,49.662,59.0,1.0
1775322951.187,50.663,59.0,1.0
1775322952.187,51.663,59.0,1.0
1775322953.188,52.663,59.0,1.0
1775322954.188,53.664,59.0,2.0
1775322955.188,54.664,59.0,0.0
1775322956.811,56.287,59.0,1.0
1775322957.812,57.288,59.0,1.0
1775322958.812,58.288,59.0,1.0
1775322959.812,59.288,59.0,1.0
1775322960.813,60.289,59.0,1.0
1775322961.813,61.289,59.0,1.0
1775322962.814,62.29,59.0,1.0
1775322963.814,63.29,59.0,1.0
1775322964.815,64.291,59.0,0.0
