timestamp,completed,e2e_pipeline_ms,stage1_ms,stage2_ms,stage3_ms,stage4_ms
1775325723.3860118,True,2596.843,0.001,50.275,2546.546,0.001
1775325726.2390409,True,2851.328,0.0,50.388,2800.92,0.002
1775325729.0019143,True,2761.462,0.0,50.196,2711.247,0.001
1775325731.5176919,True,2514.379,0.0,50.213,2464.147,0.001
1775325734.2009819,True,2681.809,0.001,50.223,2631.567,0.001
1775325736.9239264,True,2721.487,0.0,50.256,2671.213,0.001
1775325744.2091079,True,7283.769,0.0,50.272,7233.479,0.001
1775325747.004547,True,2793.974,0.0,50.364,2743.591,0.001
1775325750.7693913,True,3763.473,0.0,50.403,3713.052,0.001
1775325754.13599,True,2651.282,0.0,50.329,2600.911,0.002
1775325756.9541323,True,2815.629,0.001,50.502,2765.097,0.002
1775325759.7878463,True,2832.129,0.0,50.337,2781.772,0.001
1775325762.256021,True,2466.684,0.001,50.36,2416.293,0.001
1775325764.6862333,True,2428.358,0.001,50.187,2378.149,0.001
1775325767.2593153,True,2571.604,0.0,50.399,2521.184,0.001
1775325770.0282817,True,2767.181,0.001,50.24,2716.919,0.002
1775325772.9446068,True,2914.499,0.001,50.32,2864.154,0.001
1775325775.6037416,True,2657.676,0.0,50.452,2607.203,0.002
1775325778.6157875,True,3010.389,0.001,50.274,2960.096,0.001
