timestamp,elapsed_s,rss_mb,cpu_percent
1775326407.243,0.0,64.0,0.0
1775326408.243,1.001,64.0,0.0
1775326409.243,2.001,64.0,0.0
1775326410.244,3.001,64.0,2.0
1775326411.244,4.002,64.0,0.0
1775326412.245,5.002,64.0,1.0
1775326414.08,6.838,64.0,1.0
1775326415.081,7.838,64.0,0.0
1775326416.081,8.839,64.0,1.0
1775326417.082,9.839,64.0,0.0
1775326418.082,10.84,64.0,0.0
1775326419.082,11.84,64.0,1.0
1775326420.083,12.841,64.0,0.0
1775326421.083,13.841,64.0,1.0
1775326422.084,14.841,64.0,1.0
1775326423.084,15.842,64.0,1.0
1775326424.084,16.842,64.0,0.0
1775326425.085,17.842,64.0,1.0
1775326426.085,18.843,64.0,0.0
1775326427.086,19.843,64.0,1.0
1775326428.086,20.844,64.0,0.0
1775326429.087,21.844,64.0,0.0
1775326430.087,22.845,64.0,1.0
1775326431.088,23.845,64.0,0.0
1775326432.088,24.846,64.0,1.0
1775326433.088,25.846,64.0,1.0
1775326434.089,26.846,64.0,0.0
1775326435.089,27.847,64.0,1.0
1775326436.09,28.847,64.0,0.0
1775326437.09,29.848,64.0,0.0
1775326438.09,30.848,64.0,1.0
1775326439.091,31.848,64.0,1.0
1775326440.091,32.849,64.0,0.0
1775326441.092,33.849,64.0,0.0
1775326442.092,34.849,64.0,1.0
1775326443.092,35.85,64.0,1.0
1775326444.093,36.85,64.0,1.0
1775326445.093,37.851,64.0,0.0
1775326446.945,39.702,64.0,0.0
1775326447.946,40.703,64.0,1.0
1775326448.946,41.703,64.0,1.0
1775326449.946,42.704,64.0,0.0
1775326450.947,43.704,64.0,2.0
1775326451.947,44.705,64.0,0.0
1775326452.948,45.705,64.0,1.0
1775326453.948,46.705,64.0,1.0
1775326454.948,47.706,64.0,0.0
1775326455.949,48.706,64.0,1.0
1775326456.949,49.707,64.0,0.0
1775326457.95,50.707,64.0,1.0
1775326458.95,51.707,64.0,0.0
1775326459.95,52.708,64.0,1.0
1775326460.951,53.708,64.0,1.0
1775326461.951,54.709,64.0,0.0
1775326462.951,55.709,64.0,1.0
1775326463.952,56.709,64.0,1.0
1775326464.952,57.71,64.0,0.0
1775326465.952,58.71,64.0,1.0
1775326466.953,59.71,64.0,0.0
1775326467.953,60.711,64.0,1.0
1775326468.954,61.711,64.0,0.0
1775326469.954,62.711,64.0,1.0
1775326470.954,63.712,64.0,1.0
1775326471.955,64.712,64.0,0.0
