timestamp,elapsed_s,rss_mb,cpu_percent
1775324785.812,0.0,61.63,0.0
1775324786.812,1.001,61.63,0.0
1775324787.813,2.001,61.63,0.0
1775324788.813,3.001,61.75,5.0
1775324789.813,4.002,61.88,2.0
1775324790.814,5.002,62.0,3.0
1775324791.814,6.003,62.0,5.0
1775324792.815,7.003,62.0,3.0
1775324793.815,8.004,62.0,3.0
1775324794.815,9.004,62.0,4.0
1775324795.816,10.004,62.0,3.0
1775324796.816,11.005,62.0,4.0
1775324797.817,12.005,62.0,3.0
1775324798.817,13.006,62.0,4.0
1775324799.818,14.006,62.0,4.0
1775324800.818,15.006,62.0,2.0
1775324801.818,16.007,62.0,4.0
1775324802.819,17.007,62.0,3.0
1775324803.819,18.008,62.0,3.0
1775324804.819,19.008,62.0,4.0
1775324805.82,20.008,62.0,3.0
1775324806.821,21.009,62.0,4.0
1775324808.751,22.939,62.0,3.0
1775324809.751,23.939,62.0,4.0
1775324810.752,24.94,62.0,3.0
1775324811.752,25.941,62.0,4.0
1775324812.753,26.941,62.0,3.0
1775324813.753,27.942,62.0,4.0
1775324814.754,28.942,62.0,3.0
1775324815.754,29.943,62.0,3.0
1775324816.755,30.943,62.0,4.0
1775324817.755,31.943,62.0,4.0
1775324818.755,32.944,62.0,3.0
1775324819.756,33.944,62.0,4.0
1775324820.756,34.945,62.0,3.0
1775324821.756,35.945,62.0,3.0
1775324822.757,36.945,62.0,3.0
1775324823.757,37.946,62.13,3.0
1775324824.758,38.946,62.13,4.0
1775324825.758,39.947,62.13,3.0
1775324826.759,40.947,62.13,4.0
1775324827.759,41.947,62.13,3.0
1775324828.759,42.948,62.13,4.0
1775324829.76,43.948,62.25,3.0
1775324830.76,44.948,62.25,3.0
1775324831.76,45.949,62.38,3.0
1775324832.76,46.949,62.38,4.0
1775324833.761,47.949,62.38,4.0
1775324834.761,48.95,62.38,3.0
1775324835.761,49.95,62.38,4.0
1775324836.762,50.95,62.38,3.0
1775324837.762,51.951,62.38,3.0
1775324838.763,52.951,62.38,2.0
1775324839.763,53.952,62.38,4.0
1775324841.69,55.878,62.38,4.0
1775324842.69,56.879,62.38,3.0
1775324843.691,57.879,62.38,3.0
1775324844.691,58.879,62.38,4.0
1775324845.692,59.88,62.38,3.0
1775324846.692,60.88,62.38,3.0
1775324847.692,61.881,62.38,3.0
1775324848.693,62.881,62.38,4.0
1775324849.693,63.882,62.38,3.0
1775324850.694,64.882,62.38,2.0
