framework,concurrency,runs_collected,e2e_median_ms,e2e_mean_ms,e2e_p95_ms,stage1_median_ms,stage2_median_ms,stage3_median_ms,stage4_median_ms,pcr_median_pct
flask,1,5,2746.671,2844.125,3326.008,0.0,50.309,2696.24,0.001,100.0
flask,5,5,2774.868,2960.842,3986.1,0.0,50.251,2724.612,0.001,100.0
flask,10,5,2828.603,2942.32,3857.209,0.0,50.312,2778.332,0.001,100.0
flask,25,5,2946.619,2947.508,2954.646,0.0,50.257,2896.271,0.002,100.0
flask,50,5,2947.302,2948.902,2960.34,0.0,50.26,2897.051,0.002,100.0
flask,100,5,2947.405,2947.906,2954.518,0.0,50.227,2897.041,0.002,100.0
django,1,5,2844.586,3093.744,3640.375,0.0,50.249,2793.837,0.001,100.0
django,5,5,2785.043,3179.298,4073.221,0.0,50.348,2734.568,0.001,100.0
django,10,5,2815.669,2981.979,3760.891,0.0,50.32,2765.215,0.002,100.0
django,25,5,2947.28,2948.234,2955.828,0.0,50.251,2897.013,0.002,100.0
django,50,5,2948.82,2949.424,2955.412,0.0,50.276,2898.426,0.002,100.0
django,100,5,2946.401,2947.675,2955.046,0.0,50.237,2896.076,0.002,100.0
fastapi,1,5,2708.632,2867.559,4024.549,0.0,50.426,2658.278,0.001,100.0
fastapi,5,5,2727.118,2865.289,3758.097,0.0,50.486,2676.387,0.001,100.0
fastapi,10,5,2733.187,2877.511,3544.558,0.0,50.566,2681.208,0.001,100.0
fastapi,25,5,3307.331,3278.71,3345.76,0.0,189.706,3064.931,0.001,100.0
fastapi,50,5,3662.899,3675.481,3780.817,0.0,373.315,3294.006,0.001,100.0
fastapi,100,5,4344.585,4383.898,4823.401,0.0,643.883,3738.124,0.001,100.0
tornado,1,5,2759.943,2836.874,3318.897,0.001,50.312,2709.608,0.001,100.0
tornado,5,5,2702.945,2859.255,3827.225,0.0,50.305,2652.549,0.001,100.0
tornado,10,5,2696.327,2809.279,3542.859,0.0,50.347,2645.802,0.001,100.0
tornado,25,5,3321.101,3321.071,3344.251,0.0,229.45,3093.012,0.0,100.0
tornado,50,5,3682.141,3682.209,3733.859,0.0,395.807,3288.767,0.0,100.0
tornado,100,5,4077.959,4105.318,4801.126,0.0,468.639,3555.954,0.001,100.0
