framework,endpoint,concurrency,runs_collected,idle_rss_median_mb,peak_rss_median_mb,memory_growth_median_mb,avg_cpu_median_pct,max_cpu_median_pct
flask,inference,1,5,57.51,57.51,0.0,0.078,1.0
flask,inference,5,5,57.51,57.51,0.0,0.078,1.0
flask,inference,10,5,57.63,57.63,0.0,0.078,1.0
flask,inference,25,5,67.8,67.8,0.0,0.656,3.0
flask,inference,50,5,70.75,71.5,0.0,0.562,3.0
flask,inference,100,5,72.5,72.5,0.0,0.531,2.0
flask,stream,1,5,58.76,58.76,0.0,0.281,1.0
flask,stream,5,5,58.88,58.88,0.0,0.281,2.0
flask,stream,10,5,59.13,59.13,0.0,0.281,1.0
flask,stream,25,5,73.25,73.25,0.0,0.828,5.0
flask,stream,50,5,73.25,73.25,0.0,0.781,6.0
flask,stream,100,5,73.25,73.25,0.0,0.781,5.0
flask,pipeline,1,5,59.13,59.13,0.0,0.094,1.0
flask,pipeline,5,5,59.13,59.13,0.0,0.094,1.0
flask,pipeline,10,5,59.13,59.13,0.0,0.094,1.0
flask,pipeline,25,5,73.25,73.25,0.0,0.578,2.0
flask,pipeline,50,5,74.13,74.13,0.0,0.609,3.0
flask,pipeline,100,5,75.75,75.75,0.0,0.594,3.0
django,inference,1,5,65.03,65.03,0.0,0.094,1.0
django,inference,5,5,65.16,65.28,0.0,0.078,1.0
django,inference,10,5,65.28,65.28,0.0,0.078,1.0
django,inference,25,5,73.78,74.53,0.0,0.578,3.0
django,inference,50,5,73.14,73.14,0.0,0.594,3.0
django,inference,100,5,74.52,74.52,0.0,0.578,3.0
django,stream,1,5,66.28,66.28,0.0,0.297,1.0
django,stream,5,5,66.28,66.28,0.0,0.297,1.0
django,stream,10,5,66.28,66.41,0.0,0.297,1.0
django,stream,25,5,73.79,74.54,1.5,0.797,4.0
django,stream,50,5,81.54,81.54,0.0,0.797,5.0
django,stream,100,5,83.04,83.04,0.0,0.797,5.0
django,pipeline,1,5,66.53,66.53,0.0,0.109,1.0
django,pipeline,5,5,66.53,66.53,0.0,0.109,1.0
django,pipeline,10,5,66.53,66.53,0.0,0.094,1.0
django,pipeline,25,5,83.17,83.17,0.0,0.547,2.0
django,pipeline,50,5,83.17,83.17,0.0,0.594,3.0
django,pipeline,100,5,83.17,83.17,0.0,0.531,2.0
fastapi,inference,1,5,60.99,60.99,0.0,0.203,1.0
fastapi,inference,5,5,61.87,62.12,0.13,0.578,2.0
fastapi,inference,10,5,63.24,63.37,0.13,1.031,4.0
fastapi,inference,25,5,94.2,95.63,3.11,13.886,53.0
fastapi,inference,50,5,154.12,154.12,0.0,24.342,100.0
fastapi,inference,100,5,210.27,210.93,0.0,36.903,106.0
fastapi,stream,1,5,63.99,64.49,0.25,0.531,2.0
fastapi,stream,5,5,67.87,67.99,1.13,2.031,4.0
fastapi,stream,10,5,70.99,70.99,0.37,3.686,7.0
fastapi,stream,25,5,205.61,205.61,0.0,16.188,47.0
fastapi,stream,50,5,204.04,223.66,7.0,28.656,91.0
fastapi,stream,100,5,322.24,332.2,0.75,47.891,103.0
fastapi,pipeline,1,5,72.12,72.12,0.0,0.234,1.0
fastapi,pipeline,5,5,72.12,72.12,0.0,0.641,2.0
fastapi,pipeline,10,5,72.12,72.12,0.0,1.266,4.0
fastapi,pipeline,25,5,310.16,310.16,0.0,12.328,46.0
fastapi,pipeline,50,5,309.25,309.25,0.0,22.391,84.9
fastapi,pipeline,100,5,234.13,234.13,0.0,40.016,103.0
tornado,inference,1,5,56.63,56.63,0.13,0.078,1.0
tornado,inference,5,5,57.75,57.88,0.13,0.453,2.0
tornado,inference,10,5,58.88,59.0,0.13,0.906,4.0
tornado,inference,25,5,89.23,90.77,6.25,13.592,53.0
tornado,inference,50,5,151.55,152.33,6.5,25.884,98.9
tornado,inference,100,5,205.52,207.24,0.0,44.403,103.0
tornado,stream,1,5,59.5,59.5,0.0,0.406,2.0
tornado,stream,5,5,59.88,60.13,0.25,1.859,3.0
tornado,stream,10,5,62.38,63.25,0.75,3.484,6.0
tornado,stream,25,5,185.25,185.25,0.0,16.047,43.0
tornado,stream,50,5,278.57,286.82,26.66,31.973,94.0
tornado,stream,100,5,329.29,340.64,18.79,52.653,101.0
tornado,pipeline,1,5,64.0,64.0,0.0,0.125,1.0
tornado,pipeline,5,5,64.0,64.0,0.0,0.562,2.0
tornado,pipeline,10,5,64.0,64.0,0.0,1.141,4.0
tornado,pipeline,25,5,352.99,352.99,0.0,11.544,42.0
tornado,pipeline,50,5,347.58,347.58,0.0,21.631,83.0
tornado,pipeline,100,5,178.88,180.24,0.0,38.803,101.0
