framework,concurrency,runs_collected,ttft_median_ms,ttft_mean_ms,ttft_p95_ms,ttft_p99_ms,tpot_median_ms,tpot_mean_ms,tpot_p95_ms,csr_median_pct
flask,1,5,593.18,752.485,1911.856,5161.323,201.621,202.803,216.218,100.0
flask,5,5,11765.095,10660.937,13510.798,13722.755,199.092,200.677,216.208,100.0
flask,10,5,25708.412,20404.531,28872.399,29209.811,200.713,200.977,211.157,100.0
flask,25,5,28196.129,28160.075,53780.603,56171.159,183.849,184.296,187.488,100.0
flask,50,5,28085.614,28097.848,53563.244,55954.802,183.896,184.04,184.778,100.0
flask,100,5,28162.799,28132.718,53638.815,55968.373,183.858,184.056,184.834,100.0
django,1,5,645.673,730.68,1280.955,2178.92,204.646,209.003,274.698,100.0
django,5,5,12113.479,11227.649,14990.402,18208.186,202.111,204.641,239.166,100.0
django,10,5,25718.656,20518.326,29097.912,29895.86,204.032,205.715,227.074,100.0
django,25,5,28109.012,28112.48,53589.303,56006.164,183.856,183.958,184.841,100.0
django,50,5,28109.826,28130.447,53620.457,56040.563,183.917,184.078,185.087,100.0
django,100,5,28112.698,28139.432,53616.494,56025.266,183.917,184.04,184.765,100.0
fastapi,1,5,515.483,590.766,927.769,1858.508,203.425,204.306,214.02,100.0
fastapi,5,5,513.654,616.822,1240.345,2035.83,204.029,205.628,220.708,100.0
fastapi,10,5,511.989,646.636,1335.725,2898.14,203.283,207.777,226.549,100.0
fastapi,25,5,580.758,545.08,662.824,687.837,184.267,184.431,186.581,100.0
fastapi,50,5,981.133,901.579,1115.957,1170.322,184.542,184.048,188.692,100.0
fastapi,100,5,1787.158,1623.515,2051.869,2521.979,185.244,185.134,211.664,100.0
tornado,1,5,459.064,569.389,1120.813,1830.334,199.963,199.558,209.919,100.0
tornado,5,5,517.336,624.035,1099.645,3255.246,198.744,199.51,214.999,100.0
tornado,10,5,502.642,600.163,1117.999,2192.665,197.847,199.823,211.985,100.0
tornado,25,5,558.675,509.243,702.815,750.839,184.266,184.434,186.655,100.0
tornado,50,5,923.037,862.43,1256.601,1338.098,184.693,184.383,207.016,100.0
tornado,100,5,2003.404,1865.281,2657.06,2923.161,185.313,179.519,237.13,100.0
